"name","test","communication","teamwork","leadership","communication2","teamwork2","leadership2","communication3","teamwork3","leadership3"
"Hamlin, Christiana","pre_training",3,3,4.5,"no","no","yes","medium","medium","medium"
"Horblit, Timothy","pre_training",3,3,3.5,"no","no","yes","medium","medium","medium"
"Grady, Justin","pre_training",3,2.5,3,"no","no","no","medium","medium","medium"
"Grossetete-Alfaro, Giovana","pre_training",3,3.5,2.5,"no","yes","no","medium","medium","medium"
"Dingae, Lori","pre_training",3,4,4.5,"no","yes","yes","medium","medium","medium"
"el-Sabir, Saamyya","pre_training",2.33333333333333,2,2.5,"no","no","no","medium","low","medium"
"Reynolds, Tylor","pre_training",3,3.5,3,"no","yes","no","medium","medium","medium"
"Aslami, Andrew","pre_training",3.33333333333333,3.5,3,"no","yes","no","medium","medium","medium"
"Alexander, Kiri","pre_training",3.33333333333333,4,2.5,"no","yes","no","medium","medium","medium"
"Guzman Pineda, Timothy","pre_training",2.33333333333333,2.5,3,"no","no","no","medium","medium","medium"
"Hamlin, Christiana","post_training",2,2.5,3.5,"no","no","yes","low","medium","medium"
"Grossetete-Alfaro, Giovana","post_training",4.33333333333333,4.5,4.5,"yes","yes","yes","medium","medium","medium"
"Dingae, Lori","post_training",5,6,6,"yes","yes","yes","high","high","high"
"Alexander, Kiri","post_training",4.66666666666667,5,5,"yes","yes","yes","medium","high","high"
"Aslami, Andrew","post_training",4.66666666666667,4,4,"yes","yes","yes","medium","medium","medium"
"Guzman Pineda, Timothy","post_training",3.66666666666667,3.5,4.5,"yes","yes","yes","medium","medium","medium"
"el-Sabir, Saamyya","post_training",4.33333333333333,4.5,4,"yes","yes","yes","medium","medium","medium"
"Grady, Justin","post_training",5,3,3.5,"yes","no","yes","high","medium","medium"
"Reynolds, Tylor","post_training",3.66666666666667,4,4,"yes","yes","yes","medium","medium","medium"
"Horblit, Timothy","post_training",4,4,4,"yes","yes","yes","medium","medium","medium"
"Price, Jacob","pre_training",5.33333333333333,5,3.5,"yes","yes","yes","high","high","medium"
"al-Azad, Maa'iz","pre_training",1.33333333333333,1.5,1,"no","no","no","low","low","low"
"Mitchell, Derek","pre_training",3.33333333333333,4,2.5,"no","yes","no","medium","medium","medium"
"Tran, Josaphina","pre_training",3.33333333333333,3,2.5,"no","no","no","medium","medium","medium"
"Douglas, Loreel","pre_training",3,4,4,"no","yes","yes","medium","medium","medium"
"Jurado, Michele","pre_training",4.66666666666667,5,5,"yes","yes","yes","medium","high","high"
"Larned, Alexander","pre_training",2.66666666666667,3,3,"no","no","no","medium","medium","medium"
"el-Idris, Faaris","pre_training",4.66666666666667,4,4,"yes","yes","yes","medium","medium","medium"
"Manheimer, Nicole","pre_training",2.66666666666667,4,2.5,"no","yes","no","medium","medium","medium"
"Tran, Anthony","pre_training",3.66666666666667,4.5,3,"yes","yes","no","medium","medium","medium"
"Allen, Renee","pre_training",4.33333333333333,3.5,3,"yes","yes","no","medium","medium","medium"
"Tran, Josaphina","post_training",4.66666666666667,5,5,"yes","yes","yes","medium","high","high"
"Jurado, Michele","post_training",5,4.5,4,"yes","yes","yes","high","medium","medium"
"Price, Jacob","post_training",5,5,4,"yes","yes","yes","high","high","medium"
"al-Azad, Maa'iz","post_training",4.66666666666667,5.5,5,"yes","yes","yes","medium","high","high"
"el-Idris, Faaris","post_training",5.33333333333333,5.5,6,"yes","yes","yes","high","high","high"
